COc1ccccc1C(=O)Nc1nc2ccccc2s1;MolPort-001-978-204
CCC(=O)Nc1nc2ccccc2s1;MolPort-001-488-948
CCOc1ccccc1C(=O)Nc1nc2ccccc2s1;MolPort-003-250-760
CC(C)C(=O)Nc1nc2ccccc2s1;MolPort-001-490-649
CC(=O)Nc1nc2ccccc2s1;MolPort-001-488-988
CCCCNC(=S)N1CCN(c2ncccn2)CC1;MolPort-008-299-715
COCCCNC(=S)N1CCN(c2ncccn2)CC1;MolPort-001-644-741
COCCNC(=O)CN1CCN(CC1)c1ncccn1;MolPort-035-835-271
Cc1cc(C)n(C(=O)c2ccc(C)s2)n1;MolPort-009-188-048
O=C(Oc1ccc2ccc(=O)oc2c1)C1CCCCC1;MolPort-002-087-958
CC(=O)Oc1ccc2ccc(=O)oc2c1;MolPort-000-881-866
Cc1cc(C(=O)CCl)c(C)n1Cc1ccccc1;MolPort-000-869-497
Cc1cc(C(=O)CCl)c(C)n1-c1ccc(Cl)cc1;MolPort-000-145-183
Fc1ccc(CN2C(=O)C(=O)c3ccccc23)cc1;MolPort-002-050-562
O=C1N(Cc2ccncc2)c2ccccc2C1=O;MolPort-002-665-737
Cc1ccc(C(=O)Nc2nncs2)s1;MolPort-001-613-317
Cc1cccc(C(=O)Nc2nncs2)c1;MolPort-001-987-455
Cc1ccc(NC(=S)NN2CCOCC2)cc1;MolPort-000-477-378
Nc1ccccc1C(=O)N1CCCCCC1;MolPort-000-900-636
Nc1ccccc1C(=O)N1CCCCC1;MolPort-000-876-515
Cc1ccc2[nH]c3CCN(Cc3c2c1)C(=O)CCl;MolPort-006-067-818
CCOC(=O)c1cc(sc1N)-c1ccccc1;MolPort-000-151-211
CC1(C)Cc2c(sc3nc(C4CC4)n(N)c(=O)c23)CO1;MolPort-002-616-689
COc1ccc(OC)c(C(=O)CCl)c1;MolPort-002-001-389
CCOC(=O)c1ccc2nc[nH]c2c1;MolPort-000-002-336
Cc1nc(N)c2c(C)c(C(=O)N3CCCC3)sc2n1;MolPort-046-893-813
Cc1ccc(OC(C)C(=O)N2CCOCC2)cc1;MolPort-002-312-078
O=C(NCCO)c1ccc(Cl)c(Cl)c1;MolPort-001-757-547
Cc1ccc(N2C(=O)CC(=O)NC2=O)cc1C;MolPort-000-998-473
OCCN=Cc1cc(Cl)cc(Cl)c1O;MolPort-001-799-281
O=C(CCl)Nc1ccccc1N1CCOCC1;MolPort-001-990-142
O=C(CCl)Nc1ccccc1[N+](=O)[O-];MolPort-000-153-326
O=C(CN1C(=O)c2ccccc2C1=O)N1CCCCC1;MolPort-001-757-947
CC(C)CC(=O)N1CCN(c2ncccn2)CC1;MolPort-008-304-480
