Se,Sp,Pre,MCC,Balanced accuracy,Balanced accuracy-adjusted,G-mean,AUC-ROC,AUC-PRC,Method,Split
0.444444444444444,0.996331418287534,0.208955223880597,0.302600696321258,0.720387931365989,0.440775862731978,0.665442682492901,0.761529553562502,0.316418456595502,Validation,Random
0.444444444444444,0.995950716411712,0.193103448275862,0.290700609942671,0.720197580428078,0.440395160856156,0.665315536305631,0.784730393853395,0.342763700011316,Validation,Random
0.523809523809524,0.992870492143698,0.138075313807531,0.266084592219388,0.758340007976611,0.516680015953221,0.721162270015783,0.832459312143676,0.32459114417404,Validation,Random
0.365079365079365,0.996227590503219,0.174242424242424,0.249907222476579,0.680653477791292,0.361306955582584,0.603077222431308,0.762288759900721,0.317538208460518,Validation,Random
0.333333333333333,0.996573683117602,0.175,0.239276473530552,0.664953508225468,0.329907016450936,0.576360328011798,0.746967020120616,0.247672963976721,Validation,Random
0.365079365079365,0.996366027548972,0.1796875,0.25386160891971,0.680722696314169,0.361445392628337,0.603119123162438,0.817254035275078,0.281708892025854,Test,Random
0.365079365079365,0.995639233058767,0.154362416107383,0.234905375455692,0.680359299069066,0.360718598138132,0.602899111836467,0.758499320449898,0.29039877807273,Test,Random
0.301587301587302,0.991105419810341,0.068840579710145,0.140357086878562,0.646346360698821,0.292692721397643,0.546721875499006,0.751964212924966,0.14246008879492,Test,Random
0.444444444444444,0.995950716411712,0.193103448275862,0.290700609942671,0.720197580428078,0.440395160856156,0.665315536305631,0.834348813012203,0.348983853329345,Test,Random
0.380952380952381,0.996539073856164,0.193548387096774,0.269355269003454,0.688745727404272,0.377491454808545,0.616144409126291,0.839170212742581,0.313276671226031,Test,Random
0.205128205128205,0.945137157107232,0.266666666666667,0.169438000089266,0.575132681117719,0.150265362235437,0.440311581311894,0.634743270030053,0.216145130170982,External set,Random
0.230769230769231,0.943890274314214,0.285714285714286,0.192550835625116,0.587329752541723,0.174659505083445,0.466712794482913,0.651464287997954,0.203756137128012,External set,Random
0.474358974358974,0.804239401496259,0.190721649484536,0.19100737799503,0.639299187927617,0.278598375855234,0.61765538743934,0.639091374128781,0.185172191714823,External set,Random
0.256410256410256,0.961346633416459,0.392156862745098,0.264876870815308,0.608878444913358,0.217756889826715,0.496486794158164,0.650105505467102,0.245741951862985,External set,Random
0.217948717948718,0.958852867830424,0.34,0.217068394014272,0.588400792889571,0.176801585779142,0.457144127431483,0.673508536351429,0.248237127585678,External set,Random
0.25,0.995951557093425,0.106870229007634,0.1610171759808,0.622975778546713,0.245951557093426,0.498986862826424,0.759318462679189,0.132204004075551,Validation,Scaffold
0.436363636363636,0.995813293657659,0.16551724137931,0.26658529668469,0.716088465010648,0.432176930021295,0.65919398507549,0.829309146270497,0.35664181546879,Validation,Scaffold
0.288135593220339,0.995743502785756,0.121428571428571,0.184546125955129,0.641939548003047,0.283879096006095,0.5356390061137,0.740268622101995,0.23997939520011,Validation,Scaffold
0.428571428571429,0.998095501921812,0.375,0.399186400257112,0.71333346524662,0.42666693049324,0.65402998028328,0.786213232731464,0.296479299556483,Validation,Scaffold
0.253968253968254,0.996469733153359,0.135593220338983,0.18316531012939,0.625218993560806,0.250437987121613,0.503062300576351,0.80452754250906,0.231867956654846,Validation,Scaffold
0.402597402597403,0.995948893736366,0.209459459459459,0.287824505127762,0.699273148166885,0.398546296333769,0.633219107211728,0.840306416342565,0.269134888941131,Test,Scaffold
0.064516129032258,0.996712347729789,0.040404040404041,0.048485282223609,0.530614238381024,0.061228476762048,0.253582378004032,0.671804111742221,0.015531845519651,Test,Scaffold
0.245614035087719,0.995640289263347,0.1,0.154160472605766,0.620627162175533,0.241254324351066,0.494513123124023,0.7579547116988,0.068086802244904,Test,Scaffold
0.368421052631579,0.997335732327601,0.214285714285714,0.279141914534562,0.68287839247959,0.36575678495918,0.606167864812398,0.812299944699297,0.3092301400495,Test,Scaffold
0.305084745762712,0.996020623550988,0.135338345864662,0.200805421838751,0.65055268465685,0.3011053693137,0.551244681344384,0.759077934196304,0.262023703924845,Test,Scaffold
0.256410256410256,0.908977556109726,0.21505376344086,0.152900585385987,0.582693906259991,0.165387812519982,0.482774448612665,0.640594027751135,0.201946019287421,External set,Scaffold
0.32051282051282,0.957605985037406,0.423728813559322,0.316058341356725,0.639059402775114,0.278118805550227,0.554008118355947,0.663133832086451,0.279028180983518,External set,Scaffold
0.461538461538462,0.650872817955112,0.113924050632911,0.066598014748875,0.556205639746787,0.112411279493574,0.548090174201477,0.57788221753309,0.13343399167173,External set,Scaffold
0.307692307692308,0.950124688279302,0.375,0.282170081047391,0.628908497985805,0.257816995971609,0.540690353096939,0.671734126222904,0.252261111105807,External set,Scaffold
0.346153846153846,0.79426433915212,0.140625,0.096630228864717,0.570209092652983,0.140418185305966,0.524344977910868,0.613434362810921,0.143568538749341,External set,Scaffold
